Tema,Candidato,Postura,Cita,Tipo de fuente,Enlace,Minuto
Constitución_Política,Fujimori,Es un documento correcto que debe defenderse ,"""Fuerza Popular tiene como ideario principal a la Constitución de 1993.""",Oral,ENE 20 - Keiko Fujimori por primera vez en entrevista con Diego Acuña - YouTube,0:24:10
,Sánchez,Debería ser reformada totalmente mediante una Asamblea Constituyente ,"""Con una asamble constituyente""",Oral,"#INTERVIEW WITH ROBERTO SANCHEZ, PRESIDENTIAL CANDIDATE FOR TOGETHER FOR PERU #MANUELA LABASTIDAS - YouTube",0:22:58
Aborto,Fujimori,Solo debe darse cuando la vida de la madre corre riesgo,"""Y esto yo lo he conversado con mis hijas. Yo estoy a favor del aborto terapéutico en caso de que la madre corra riesgo de vida, pero en caso de violación no. Yo optaría y le diría a mis hijas que ellas tengan al bebé.""",Oral,"Keiko addresses abortion, foreign policy, and campaign | At odds | Peru - YouTube",0:04:22
,Sánchez,Está justificado en casos de violación,"""No es una decisión feliz pero ha de primar el derecho a integridad de la víctima que es una niña. Condenable negarle ese imperativo ético. El Aborto terapéutico""",Comunicación escrita,No es una decisión feliz pero ha de primar el derecho a integridad de la víctima que es una niña. Condenable negarle ese imperativo ético. El Aborto terapéutico @RPPNoticias @Defensoria_Peru @UNICEFperu @CMP_PERU @MimpPeru @exitosape @Rosario_Sasieta,-
Matrimonio igualitario,Fujimori,Solo deberìa abogarse por una unión civil patrimonial,"""Yo estoy a favor de la unión civil cuando se trata de defender al patrimonio. Unión civil patrimonial.""",Oral,ENE 20 - Keiko Fujimori por primera vez en entrevista con Diego Acuña - YouTube,0:25:43
,Sánchez,Debería legalizarse y permitirse,Presentación del proyecto de ley,Prensa,https://larepublica.pe/sociedad/2023/09/05/plantean-pl-para-reconocer-matrimonio-igualitario-en-el-peru-y-los-realizados-en-el-extranjero-susel-paredes-congreso-de-la-republica-union-civil-254730,-
Cierre del Congreso,Fujimori,El cierre del Congreso es una acción inconstitucional,"""(Respecto a la propuesta de RLA de cerrar la Cámara de Diputados) De ninguna manera, durante el gobierno del señor Vizcarra, lamentablemente, él cerró el Congreso y ya ha habido una resolución del Tribunal Constitucional que declaró esta medida fue ilegal e inconstitucional. Yo creo en el diálogo.""",Oral,Keiko Fujimori en contra de propuesta de RLA de cerrar la cámara de diputados durante - Vídeo Dailymotion,0:00:44
,Sánchez,Apoyo cierres totales por voluntad presidencial,"""Liberaremos al pueblo de la mafia que hoy gobierna y tiene secuestrado al @PedroCastilloTe""",Comunicación escrita,https://x.com/RobertoSanchP/status/2015693869900308627,-
Pacto de San José,Fujimori,Se debe evaluar el retiro para la implementación de jueces sin rostro y trabajos para presos.,""" Lo que sí creo es que vamos a tener que salir del pacto de San José. Por dos razones, una porque creo que hay que implementar temporalmente los jueces sin rostros(...) Y lo segundo que hay que implementar es que los internos tienen que trabajar por sus alimentos de calidad"".",Oral,"KEIKO FUJIMORI habla de KENJI, el PEDIDO de su PADRE y su DECISIÓN FINAL antes de ELECCIONES | #S8",0:29:46
,Sánchez,El Perú no debe de renunciar al Pacto de San José por la defensa de los Derechos Humanos,"«No estamos de acuerdo con denunciar al Pacto de San José, de ninguna manera»",Prensa,Roberto Sánchez afirma que mantendrá a Perú en la Corte IDH y no aplicará pena de muerte - SWI swissinfo.ch,0:00
Nacionalización recursos,Fujimori,Se debe buscar salidas mixtas con participación compartida,"""(Respecto a PetroPerú) Nuestra respuesta es una asociación público-privada. Convocaríamos al sector privado para tener mayor transparencia y enfocaríamos al Estado en las partes economicamente rentables (...)""",Oral,ENE 20 - Keiko Fujimori por primera vez en entrevista con Diego Acuña - YouTube,0:30:18
,Sánchez,Deberían ser 100% propiedad del Estado,"""Yo propongo nacionalizar el gas de camisea (...) La alternativa que nosotros proponemos de nacionalización y de soberanía sobre nuestros recursos naturales con una asamblea constituyente y nueva constitución es plantearle pues a la transnacionales la renegociación de los contratos de concesión""                                                                                                                                        ""El Perú necesita reafirmar soberanía sobre sus recursos naturales.""",Oral,"NICOLÁS LÚCAR: ROBERTO SÁNCHEZ ¿INDULTARÁ A CASTILLO? - SE NECESITA PRESIDENTE Entrevista Internacional a Roberto Sanchez, candidato presidencial de Juntos por Perú 📱 - YouTube",0:47:54
Modelo económico,Fujimori,Se debe asegurar la libre competencia pero con regulación del Estado,"""Libre mercado sí, pero impulsando la economía solidaria y protegiendo a quienes están en una situación desventajosa: trabajadores, Mypes, el agro, comuneros y los",Comunicación escrita,plan de gobierno perú con orden 2026,p. 12
,Sánchez,El Estado debería asegurar la repartición equitativa de la riqueza,"“No podemos continuar con un modelo primario exportador, mercantilista…”",Oral,"Entrevista Internacional a Roberto Sanchez, candidato presidencial de Juntos por Perú 📱 - YouTube",0:51:14
Leyes Pro-Crimen,Fujimori,Es una narrativa falsa ,"""Y sobre las mal llamadas leyes procrímenes, esto es una narrativa caviar. Yo descarto que el Congreso de la República esté aprobando ese tipo de normas...""",Oral,🔴 FUEGO CRUZADO ELECTORAL 🔥🗣️ KEIKO FUJIMORI EN VIVO - 25 de ENERO de 2026,0:48:29
,Sánchez,Sí existen,"""Debemos de denunciar que hay un pacto mafioso que hoy día gobierna en el Perú, gobierna el sistema de justicia porque ha legislado leyes procrimen que debemos de derogarlas"".",Oral,Walter Chirinos y Roberto Sánchez debaten sobre seguridad ciudadana #EPETM,0:03:54